count,timePeriod
78,202001010000
123,202001020000
191,202001030000
93,202001040000
99,202001050000
241,202001060000
396,202001070000
323,202001080000
866,202001090000
972,202001100000
321,202001110000
126,202001120000
265,202001130000
483,202001140000
429,202001150000
446,202001160000
450,202001170000
319,202001180000
144,202001190000
305,202001200000
451,202001210000
687,202001220000
2323,202001230000
785,202001240000
335,202001250000
182,202001260000
360,202001270000
516,202001280000
566,202001290000
504,202001300000
489,202001310000
252,202002010000
232,202002020000
310,202002030000
539,202002040000
599,202002050000
1013,202002060000
535,202002070000
223,202002080000
692,202002090000
665,202002100000
669,202002110000
745,202002120000
1007,202002130000
704,202002140000
439,202002150000
338,202002160000
443,202002170000
636,202002180000
654,202002190000
598,202002200000
1488,202002210000
1194,202002220000
475,202002230000
571,202002240000
897,202002250000
1564,202002260000
1274,202002270000
1049,202002280000
608,202002290000
357,202003010000
792,202003020000
762,202003030000
837,202003040000
1478,202003050000
1058,202003060000
682,202003070000
500,202003080000
997,202003090000
1045,202003100000
1084,202003110000
2685,202003120000
1996,202003130000
1669,202003140000
1473,202003150000
1376,202003160000
1716,202003170000
2128,202003180000
2338,202003190000
1714,202003200000
1593,202003210000
1257,202003220000
1398,202003230000
2168,202003240000
2046,202003250000
1737,202003260000
2086,202003270000
954,202003280000
932,202003290000
1699,202003300000
2399,202003310000
9052,202004010000
2721,202004020000
1088,202004030000
622,202004040000
476,202004050000
766,202004060000
897,202004070000
948,202004080000
1084,202004090000
721,202004100000
445,202004110000
342,202004120000
919,202004130000
1306,202004140000
1117,202004150000
1356,202004160000
847,202004170000
441,202004180000
349,202004190000
702,202004200000
826,202004210000
749,202004220000
777,202004230000
614,202004240000
310,202004250000
247,202004260000
551,202004270000
963,202004280000
658,202004290000
1306,202004300000
828,202005010000
547,202005020000
438,202005030000
609,202005040000
576,202005050000
556,202005060000
569,202005070000
592,202005080000
318,202005090000
220,202005100000
463,202005110000
541,202005120000
641,202005130000
489,202005140000
466,202005150000
266,202005160000
239,202005170000
486,202005180000
453,202005190000
475,202005200000
479,202005210000
503,202005220000
253,202005230000
207,202005240000
214,202005250000
434,202005260000
573,202005270000
538,202005280000
